cod_apli_prod,descri_cod_apli_prod,num_cta,f_creacion,f_ultimo_pago,vlr_original,vlr_pagado,vlr_pendiente_pago,cod_trn,descri_cod_trn,porc_recuperado,dias_hasta_ultimo_pago,pago_total,sin_pago,pago_parcial
S,AHORRO,61629564269,20241230,20250120,2345.47,2110.92,234.55,834,CARGO FISCAL TRANSACCIONAL,0.9,21,0,0,1
S,AHORRO,86627782134,20250629,20250802,3187.36,3187.36,0.0,1157,COMISION CONSULTA SALDO,1.0,34,1,0,0
S,AHORRO,86682309522,20250311,20250514,280.22,280.22,0.0,1705,TRANSFERENCIA BOTON DIGITAL,1.0,64,1,0,0
S,AHORRO,51139249706,20250410,20250518,3259.68,3259.68,0.0,834,CARGO FISCAL TRANSACCIONAL,1.0,38,1,0,0
S,AHORRO,37106417638,20250109,20250810,2831.48,2548.33,283.15,176,COMISION RETIRO CORRESPONSAL B,0.9,213,0,0,1
S,AHORRO,82947584327,20241204,20241214,2123.66,2123.66,0.0,834,CARGO FISCAL TRANSACCIONAL,1.0,10,1,0,0
S,AHORRO,54440385719,20250404,20250420,1382.34,1382.34,0.0,834,CARGO FISCAL TRANSACCIONAL,1.0,16,1,0,0
S,AHORRO,60668093839,20250121,20250826,862.72,862.72,0.0,834,CARGO FISCAL TRANSACCIONAL,1.0,217,1,0,0
S,AHORRO,53364452224,20250309,20250703,41755.45,4285.89,37469.56,834,CARGO FISCAL TRANSACCIONAL,0.1026,116,0,0,1
S,AHORRO,32843913874,20241108,20250225,19675.99,19675.99,0.0,2048,COMISION TRANSFERENCIA EXTERNA A,1.0,109,1,0,0
S,AHORRO,98517471438,20250323,20250610,87832.47,87832.47,0.0,497,PAGO SERVICIO ELECTRONICO,1.0,79,1,0,0
S,AHORRO,59568389609,20241019,20250329,22227.01,16179.36,6047.65,834,CARGO FISCAL TRANSACCIONAL,0.7279,161,0,0,1
S,AHORRO,39052250494,20241103,20250601,28129.34,28129.34,0.0,2106,COMISION TRANSFERENCIA EXTERNA B,1.0,210,1,0,0
S,AHORRO,39661033076,20250209,20250405,1331.77,1331.77,0.0,1517,COBRO SERVICIO TRANSPORTE,1.0,55,1,0,0
S,AHORRO,74182945575,20241112,20241201,539.85,539.85,0.0,1787,PAGO PUNTO EXTERNO,1.0,19,1,0,0
S,AHORRO,77808414969,20250323,20250703,527.54,527.54,0.0,1734,CARGO MORA OBLIGACION,1.0,102,1,0,0
S,AHORRO,97190182142,20250610,20250716,1170.4,0.0,1170.4,1157,COMISION CONSULTA SALDO,0.0,36,0,1,0
S,AHORRO,95976845147,20241110,20250906,1419.07,1419.07,0.0,834,CARGO FISCAL TRANSACCIONAL,1.0,300,1,0,0
S,AHORRO,93796695131,20250409,20250724,2443.06,2443.06,0.0,834,CARGO FISCAL TRANSACCIONAL,1.0,106,1,0,0
S,AHORRO,67367762459,20250423,20250717,468.97,468.97,0.0,834,CARGO FISCAL TRANSACCIONAL,1.0,85,1,0,0
S,AHORRO,45998971782,20250128,20250530,595.69,595.69,0.0,2106,COMISION TRANSFERENCIA EXTERNA B,1.0,122,1,0,0
S,AHORRO,22624164094,20250609,20250815,6487.36,6487.36,0.0,2107,CARGO FISCAL IVA TRASLADO,1.0,67,1,0,0
S,AHORRO,38365468984,20250522,20250618,1041.07,1041.07,0.0,2106,COMISION TRANSFERENCIA EXTERNA B,1.0,27,1,0,0
S,AHORRO,19877333447,20250207,20250512,913.43,0.0,913.43,1517,COBRO SERVICIO TRANSPORTE,0.0,94,0,1,0
S,AHORRO,53220609322,20250101,20250630,719.86,647.87,71.99,2107,CARGO FISCAL IVA TRASLADO,0.9,180,0,0,1
S,AHORRO,85416830563,20241023,20250629,7790.26,7790.26,0.0,87,CARGO FISCAL IVA COMISION B,1.0,249,1,0,0
S,AHORRO,69204277348,20241231,20250112,1239.73,1239.73,0.0,1157,COMISION CONSULTA SALDO,1.0,12,1,0,0
S,AHORRO,15433220927,20250628,20250915,1116.18,1116.18,0.0,834,CARGO FISCAL TRANSACCIONAL,1.0,79,1,0,0
S,AHORRO,17609249256,20250623,20250706,271.54,271.54,0.0,75,OPERACION CAMBIO DIVISAS,1.0,13,1,0,0
S,AHORRO,25065785352,20241103,20250515,4948.28,4948.28,0.0,1878,PAGO PLATAFORMA ELECTRONICA,1.0,193,1,0,0
S,AHORRO,84267650406,20250214,20250503,1175.95,0.0,1175.95,627,TRANSFERENCIA BILLETERA A,0.0,78,0,1,0
S,AHORRO,99007958746,20250505,20250912,6373.0,6373.0,0.0,371,COMISION CANAL TELEFONICO,1.0,130,1,0,0
S,AHORRO,47041038338,20241202,20241220,111.02,99.92,11.1,2231,PAGO PROGRAMADO,0.9,18,0,0,1
S,AHORRO,98997524099,20250603,20250612,767.01,767.01,0.0,2106,COMISION TRANSFERENCIA EXTERNA B,1.0,9,1,0,0
S,AHORRO,86916394339,20241025,20250114,7247.49,7247.49,0.0,2010,TRANSFERENCIA BANCA MOVIL,1.0,81,1,0,0
S,AHORRO,24227752136,20250120,20250612,1164.41,1164.41,0.0,627,TRANSFERENCIA BILLETERA A,1.0,143,1,0,0
S,AHORRO,77206822050,20241121,20250101,422.16,422.16,0.0,1554,DEBITO OBLIGACION FINANCIERA,1.0,41,1,0,0
S,AHORRO,64395965979,20241128,20241201,6246.0,0.0,6246.0,365,PAGO CANAL QR,0.0,3,0,1,0
S,AHORRO,59788745499,20250104,20250807,1302.78,1302.78,0.0,137,COMISION RETIRO CANAL A,1.0,215,1,0,0
S,AHORRO,69498393998,20241028,20250905,1588.6,1429.74,158.86,176,COMISION RETIRO CORRESPONSAL B,0.9,312,0,0,1
S,AHORRO,27152228361,20241119,20250604,7463.87,7463.87,0.0,834,CARGO FISCAL TRANSACCIONAL,1.0,197,1,0,0
S,AHORRO,95008148277,20250114,20250505,583.97,583.97,0.0,2106,COMISION TRANSFERENCIA EXTERNA B,1.0,111,1,0,0
S,AHORRO,40586882010,20250216,20250709,346.04,346.04,0.0,176,COMISION RETIRO CORRESPONSAL B,1.0,143,1,0,0
S,AHORRO,35178431407,20250319,20250613,859.82,859.82,0.0,497,PAGO SERVICIO ELECTRONICO,1.0,86,1,0,0
S,AHORRO,32268727222,20250323,20250714,15432.26,15432.26,0.0,1517,COBRO SERVICIO TRANSPORTE,1.0,113,1,0,0
S,AHORRO,15578685000,20241021,20241125,615.91,615.91,0.0,87,CARGO FISCAL IVA COMISION B,1.0,35,1,0,0
D,CORRIENTE,70988709976,20250222,20250920,75.38,75.38,0.0,834,CARGO FISCAL TRANSACCIONAL,1.0,210,1,0,0
S,AHORRO,42855496188,20250517,20250909,166.81,166.81,0.0,2287,RETIRO CANAL B,1.0,115,1,0,0
S,AHORRO,48660074769,20250712,20251007,1268.02,1268.02,0.0,834,CARGO FISCAL TRANSACCIONAL,1.0,87,1,0,0
S,AHORRO,99116282400,20250105,20250728,1867.93,1867.93,0.0,1517,COBRO SERVICIO TRANSPORTE,1.0,204,1,0,0
S,AHORRO,38375846892,20241121,20250721,1094.59,1094.59,0.0,2106,COMISION TRANSFERENCIA EXTERNA B,1.0,242,1,0,0
S,AHORRO,84132736036,20250325,20250726,607.59,607.59,0.0,176,COMISION RETIRO CORRESPONSAL B,1.0,123,1,0,0
S,AHORRO,59732949239,20241125,20250927,2652.4,2652.4,0.0,497,PAGO SERVICIO ELECTRONICO,1.0,306,1,0,0
S,AHORRO,21254199574,20250112,20250928,507.19,507.19,0.0,627,TRANSFERENCIA BILLETERA A,1.0,259,1,0,0
S,AHORRO,32228459035,20250116,20250320,2354.68,0.0,2354.68,1517,COBRO SERVICIO TRANSPORTE,0.0,63,0,1,0
S,AHORRO,19320471201,20241022,20250222,2026.3,2026.3,0.0,834,CARGO FISCAL TRANSACCIONAL,1.0,123,1,0,0
S,AHORRO,31582281894,20250303,20250518,657.54,657.54,0.0,1517,COBRO SERVICIO TRANSPORTE,1.0,76,1,0,0
S,AHORRO,88769994000,20250222,20250411,10984.26,8274.13,2710.13,1517,COBRO SERVICIO TRANSPORTE,0.7533,48,0,0,1
S,AHORRO,82810718353,20250329,20250913,489.48,489.48,0.0,834,CARGO FISCAL TRANSACCIONAL,1.0,168,1,0,0
S,AHORRO,61895435266,20250705,20250803,465.44,465.44,0.0,1517,COBRO SERVICIO TRANSPORTE,1.0,29,1,0,0
S,AHORRO,34104778164,20250429,20250910,15590.95,0.0,15590.95,2106,COMISION TRANSFERENCIA EXTERNA B,0.0,134,0,1,0
S,AHORRO,68917881289,20241019,20250704,15090.4,15090.4,0.0,834,CARGO FISCAL TRANSACCIONAL,1.0,258,1,0,0
S,AHORRO,64227378553,20250412,20250415,1441.13,0.0,1441.13,1157,COMISION CONSULTA SALDO,0.0,3,0,1,0
S,AHORRO,10806676743,20250225,20250621,3292.33,3292.33,0.0,176,COMISION RETIRO CORRESPONSAL B,1.0,116,1,0,0
S,AHORRO,36659741028,20250706,20251002,756.8,756.8,0.0,1517,COBRO SERVICIO TRANSPORTE,1.0,88,1,0,0
S,AHORRO,50513841518,20241102,20250426,9373.91,3577.69,5796.22,1517,COBRO SERVICIO TRANSPORTE,0.3817,175,0,0,1
S,AHORRO,60560408704,20241220,20250718,174.73,174.73,0.0,1642,CXC DEPOSITO CANAL,1.0,210,1,0,0
S,AHORRO,42228797009,20241016,20250103,7212.9,2189.78,5023.12,1833,CARGO FISCAL IVA B,0.3036,79,0,0,1
S,AHORRO,82642926292,20250611,20250930,1462.18,1462.18,0.0,137,COMISION RETIRO CANAL A,1.0,111,1,0,0
S,AHORRO,51425659334,20250622,20250718,990.9,990.9,0.0,834,CARGO FISCAL TRANSACCIONAL,1.0,26,1,0,0
S,AHORRO,56387104636,20250427,20250604,1831.36,1831.36,0.0,497,PAGO SERVICIO ELECTRONICO,1.0,38,1,0,0
S,AHORRO,70425315358,20250324,20250830,319.29,287.36,31.93,1517,COBRO SERVICIO TRANSPORTE,0.9,159,0,0,1
S,AHORRO,60132847265,20241204,20250428,1988.38,1988.38,0.0,1517,COBRO SERVICIO TRANSPORTE,1.0,145,1,0,0
S,AHORRO,15824883372,20241214,20250907,10196.1,10196.1,0.0,1517,COBRO SERVICIO TRANSPORTE,1.0,267,1,0,0
S,AHORRO,31939542173,20250212,20250819,5425.68,4883.11,542.57,795,PAGO AUTOMATICO TARJETA B,0.9,188,0,0,1
S,AHORRO,70674865079,20250615,20250730,7270.09,7270.09,0.0,834,CARGO FISCAL TRANSACCIONAL,1.0,45,1,0,0
S,AHORRO,96749938933,20250503,20250608,10405.96,10405.96,0.0,834,CARGO FISCAL TRANSACCIONAL,1.0,36,1,0,0
S,AHORRO,43210648011,20241229,20250524,3007.7,3007.7,0.0,1128,RETIRO CORRESPONSAL B,1.0,146,1,0,0
S,AHORRO,57461834716,20241210,20250811,20270.96,20270.96,0.0,834,CARGO FISCAL TRANSACCIONAL,1.0,244,1,0,0
S,AHORRO,41928589107,20250411,20250619,522.24,522.24,0.0,334,COMISION CONSULTA EXTERNO,1.0,69,1,0,0
S,AHORRO,65336636498,20250217,20250726,4611.51,4611.51,0.0,1517,COBRO SERVICIO TRANSPORTE,1.0,159,1,0,0
S,AHORRO,62992096374,20250408,20250809,5129.7,5129.7,0.0,574,COMISION RETIRO INTERNACIONAL,1.0,123,1,0,0
S,AHORRO,18948164912,20250428,20250622,121133.18,121133.18,0.0,176,COMISION RETIRO CORRESPONSAL B,1.0,55,1,0,0
S,AHORRO,45353496015,20250201,20250406,3598.18,3598.18,0.0,497,PAGO SERVICIO ELECTRONICO,1.0,64,1,0,0
S,AHORRO,38796359200,20250513,20250616,125360.81,0.0,125360.81,137,COMISION RETIRO CANAL A,0.0,34,0,1,0
S,AHORRO,55580423851,20250611,20250723,10493.3,10493.3,0.0,834,CARGO FISCAL TRANSACCIONAL,1.0,42,1,0,0
S,AHORRO,29354515607,20241102,20250315,5844.56,5844.56,0.0,176,COMISION RETIRO CORRESPONSAL B,1.0,133,1,0,0
S,AHORRO,99735938118,20250701,20251002,402.84,374.78,28.06,834,CARGO FISCAL TRANSACCIONAL,0.9303,93,0,0,1
S,AHORRO,65649558682,20250504,20250918,8139.09,7325.18,813.91,2107,CARGO FISCAL IVA TRASLADO,0.9,137,0,0,1
S,AHORRO,46707833749,20250614,20250712,1158.84,1158.84,0.0,1517,COBRO SERVICIO TRANSPORTE,1.0,28,1,0,0
S,AHORRO,15874406932,20250418,20250617,96.88,96.88,0.0,87,CARGO FISCAL IVA COMISION B,1.0,60,1,0,0
S,AHORRO,87536673350,20241108,20241212,10869.64,10869.64,0.0,834,CARGO FISCAL TRANSACCIONAL,1.0,34,1,0,0
S,AHORRO,44915877052,20250119,20250629,342.63,342.63,0.0,627,TRANSFERENCIA BILLETERA A,1.0,161,1,0,0
S,AHORRO,41642147834,20250501,20250705,1173.12,1173.12,0.0,1288,COMPRA ESTABLECIMIENTO A,1.0,65,1,0,0
S,AHORRO,11993485980,20250318,20250407,1774.98,1774.98,0.0,1642,CXC DEPOSITO CANAL,1.0,20,1,0,0
S,AHORRO,60029393499,20241127,20241207,1278.77,1278.77,0.0,2106,COMISION TRANSFERENCIA EXTERNA B,1.0,10,1,0,0
S,AHORRO,94824833944,20250601,20250609,28055.76,28055.76,0.0,834,CARGO FISCAL TRANSACCIONAL,1.0,8,1,0,0
S,AHORRO,28051623571,20250111,20250529,314.19,314.19,0.0,834,CARGO FISCAL TRANSACCIONAL,1.0,138,1,0,0
S,AHORRO,70670024741,20241206,20250102,1243.0,1243.0,0.0,1517,COBRO SERVICIO TRANSPORTE,1.0,27,1,0,0
S,AHORRO,58355412696,20250531,20250811,5910.59,5910.59,0.0,1517,COBRO SERVICIO TRANSPORTE,1.0,72,1,0,0
S,AHORRO,71715808242,20241130,20250115,951.3,951.3,0.0,1705,TRANSFERENCIA BOTON DIGITAL,1.0,46,1,0,0
S,AHORRO,19010919714,20250619,20250918,2220.33,2220.33,0.0,2107,CARGO FISCAL IVA TRASLADO,1.0,91,1,0,0
S,AHORRO,37348865092,20250305,20251010,197.2,197.2,0.0,1157,COMISION CONSULTA SALDO,1.0,219,1,0,0
S,AHORRO,52616572412,20250418,20250722,3035.78,3035.78,0.0,834,CARGO FISCAL TRANSACCIONAL,1.0,95,1,0,0
S,AHORRO,73589007280,20241017,20250728,4063.58,4063.58,0.0,333,CARGO FISCAL IVA A,1.0,284,1,0,0
S,AHORRO,50215918247,20250527,20250822,1998.7,1998.7,0.0,834,CARGO FISCAL TRANSACCIONAL,1.0,87,1,0,0
S,AHORRO,38289162324,20250528,20250909,917.94,917.94,0.0,87,CARGO FISCAL IVA COMISION B,1.0,104,1,0,0
S,AHORRO,69028408985,20250303,20250421,751.91,751.91,0.0,2274,CARGO FISCAL IVA CANAL VIRTUAL,1.0,49,1,0,0
S,AHORRO,26735455988,20250111,20250722,4433.77,4433.77,0.0,1517,COBRO SERVICIO TRANSPORTE,1.0,192,1,0,0
S,AHORRO,15196242758,20250402,20250824,1859.35,1859.35,0.0,834,CARGO FISCAL TRANSACCIONAL,1.0,144,1,0,0
S,AHORRO,60773906905,20241026,20250703,2019.18,2019.18,0.0,2285,APERTURA INVERSION VIRTUAL,1.0,250,1,0,0
S,AHORRO,93910877400,20250103,20250827,1894.29,1894.29,0.0,834,CARGO FISCAL TRANSACCIONAL,1.0,236,1,0,0
S,AHORRO,34689399752,20241225,20250827,6335.09,5701.58,633.51,1517,COBRO SERVICIO TRANSPORTE,0.9,245,0,0,1
S,AHORRO,50770802235,20250511,20250517,7759.61,7759.61,0.0,834,CARGO FISCAL TRANSACCIONAL,1.0,6,1,0,0
S,AHORRO,79015578681,20250523,20250823,1784.95,1784.95,0.0,1517,COBRO SERVICIO TRANSPORTE,1.0,92,1,0,0
S,AHORRO,34740006363,20250113,20250408,729.71,656.74,72.97,834,CARGO FISCAL TRANSACCIONAL,0.9,85,0,0,1
S,AHORRO,12970979980,20250423,20250825,10343.08,9222.26,1120.82,834,CARGO FISCAL TRANSACCIONAL,0.8916,124,0,0,1
S,AHORRO,44408478571,20241130,20250109,618.77,618.77,0.0,1517,COBRO SERVICIO TRANSPORTE,1.0,40,1,0,0
D,CORRIENTE,29335940537,20250123,20250527,2524.26,2116.73,407.53,497,PAGO SERVICIO ELECTRONICO,0.8386,124,0,0,1
S,AHORRO,47096744736,20241213,20250730,2139.33,2139.33,0.0,834,CARGO FISCAL TRANSACCIONAL,1.0,229,1,0,0
S,AHORRO,50487240483,20241105,20250613,5439.64,5439.64,0.0,834,CARGO FISCAL TRANSACCIONAL,1.0,220,1,0,0
S,AHORRO,26496973560,20241117,20251005,3502.34,3502.34,0.0,834,CARGO FISCAL TRANSACCIONAL,1.0,322,1,0,0
S,AHORRO,62492643890,20250302,20250922,1957.66,1957.66,0.0,497,PAGO SERVICIO ELECTRONICO,1.0,204,1,0,0
S,AHORRO,58165812458,20250420,20250718,1253.16,1253.16,0.0,2010,TRANSFERENCIA BANCA MOVIL,1.0,89,1,0,0
S,AHORRO,58475748687,20241213,20250807,5276.72,0.0,5276.72,1517,COBRO SERVICIO TRANSPORTE,0.0,237,0,1,0
S,AHORRO,78346758244,20241207,20250113,300.55,0.0,300.55,2106,COMISION TRANSFERENCIA EXTERNA B,0.0,37,0,1,0
D,CORRIENTE,21707989947,20241012,20250811,973.16,0.0,973.16,2010,TRANSFERENCIA BANCA MOVIL,0.0,303,0,1,0
S,AHORRO,72243604780,20250102,20250510,458.86,458.86,0.0,834,CARGO FISCAL TRANSACCIONAL,1.0,128,1,0,0
S,AHORRO,99651719126,20250506,20250923,1234.49,1234.49,0.0,834,CARGO FISCAL TRANSACCIONAL,1.0,140,1,0,0
S,AHORRO,65668137263,20250305,20250717,34616.95,34616.95,0.0,2106,COMISION TRANSFERENCIA EXTERNA B,1.0,134,1,0,0
S,AHORRO,96084401973,20250523,20250602,7070.58,7070.58,0.0,2107,CARGO FISCAL IVA TRASLADO,1.0,10,1,0,0
S,AHORRO,34233992193,20250415,20251001,3227.13,2886.44,340.69,137,COMISION RETIRO CANAL A,0.8944,169,0,0,1
S,AHORRO,20366315404,20250522,20250715,588.44,0.0,588.44,834,CARGO FISCAL TRANSACCIONAL,0.0,54,0,1,0
S,AHORRO,18042294667,20250520,20250627,703.62,703.62,0.0,1726,TRANSFERENCIA CANAL QR,1.0,38,1,0,0
S,AHORRO,64650299323,20250414,20250718,600.44,540.4,60.04,834,CARGO FISCAL TRANSACCIONAL,0.9,95,0,0,1
S,AHORRO,40125015604,20250112,20250812,4868.34,4868.34,0.0,349,ABONO CREDITO MORA,1.0,212,1,0,0
S,AHORRO,33720100334,20250102,20250724,1149.56,1149.56,0.0,1517,COBRO SERVICIO TRANSPORTE,1.0,203,1,0,0
S,AHORRO,85955438449,20250526,20250717,1689.42,1689.42,0.0,834,CARGO FISCAL TRANSACCIONAL,1.0,52,1,0,0
S,AHORRO,19854475200,20250117,20250312,157.9,142.11,15.79,1157,COMISION CONSULTA SALDO,0.9,54,0,0,1
S,AHORRO,48227632139,20241020,20250420,1769.52,1769.52,0.0,1517,COBRO SERVICIO TRANSPORTE,1.0,182,1,0,0
S,AHORRO,38729259112,20250604,20250720,13718.19,13718.19,0.0,176,COMISION RETIRO CORRESPONSAL B,1.0,46,1,0,0
S,AHORRO,72981754643,20250420,20250819,662.21,662.21,0.0,2106,COMISION TRANSFERENCIA EXTERNA B,1.0,121,1,0,0
S,AHORRO,12844959102,20250605,20250820,1763.71,1763.71,0.0,2106,COMISION TRANSFERENCIA EXTERNA B,1.0,76,1,0,0
S,AHORRO,84054830022,20250420,20250902,11009.58,11009.58,0.0,2106,COMISION TRANSFERENCIA EXTERNA B,1.0,135,1,0,0
S,AHORRO,99702646715,20250409,20250629,1802.11,1802.11,0.0,70,TRANSFERENCIA BILLETERA DIGITAL,1.0,81,1,0,0
S,AHORRO,64365622587,20250702,20251005,668.81,668.81,0.0,1388,COMISION EXPEDICION DOCUMENTO,1.0,95,1,0,0
S,AHORRO,91261122326,20250131,20250407,2624.55,2624.55,0.0,798,PAGO SEGURO FINANCIERO,1.0,66,1,0,0
D,CORRIENTE,16136237208,20250111,20250317,7628.38,7628.38,0.0,87,CARGO FISCAL IVA COMISION B,1.0,65,1,0,0
S,AHORRO,74171185135,20241117,20250512,13342.65,12008.39,1334.26,1517,COBRO SERVICIO TRANSPORTE,0.9,176,0,0,1
S,AHORRO,92728655113,20241012,20250619,809.07,809.07,0.0,1517,COBRO SERVICIO TRANSPORTE,1.0,250,1,0,0
S,AHORRO,21313151242,20250319,20250615,1129.28,1129.28,0.0,2106,COMISION TRANSFERENCIA EXTERNA B,1.0,88,1,0,0
S,AHORRO,80441215192,20250331,20250927,3680.91,3680.91,0.0,497,PAGO SERVICIO ELECTRONICO,1.0,180,1,0,0
S,AHORRO,41465578450,20250316,20250627,468.67,468.67,0.0,834,CARGO FISCAL TRANSACCIONAL,1.0,103,1,0,0
S,AHORRO,24847600239,20241106,20250616,3397.11,3397.11,0.0,1517,COBRO SERVICIO TRANSPORTE,1.0,222,1,0,0
S,AHORRO,16101240150,20250102,20250830,1582.69,1582.69,0.0,834,CARGO FISCAL TRANSACCIONAL,1.0,240,1,0,0
S,AHORRO,98022951861,20250123,20250619,763.23,686.91,76.32,834,CARGO FISCAL TRANSACCIONAL,0.9,147,0,0,1
S,AHORRO,84665082165,20241230,20250628,349.68,349.68,0.0,1833,CARGO FISCAL IVA B,1.0,180,1,0,0
S,AHORRO,76742424550,20241213,20250519,3055.25,3055.25,0.0,834,CARGO FISCAL TRANSACCIONAL,1.0,157,1,0,0
S,AHORRO,64291502533,20250610,20250802,847.68,847.68,0.0,627,TRANSFERENCIA BILLETERA A,1.0,53,1,0,0
S,AHORRO,35504930795,20250427,20251010,5089.69,0.0,5089.69,2106,COMISION TRANSFERENCIA EXTERNA B,0.0,166,0,1,0
S,AHORRO,52223933829,20250605,20250817,4738.65,4738.65,0.0,1517,COBRO SERVICIO TRANSPORTE,1.0,73,1,0,0
S,AHORRO,22925905709,20241211,20250607,385.91,385.91,0.0,497,PAGO SERVICIO ELECTRONICO,1.0,178,1,0,0
S,AHORRO,14031925170,20250313,20250322,1755.05,1755.05,0.0,834,CARGO FISCAL TRANSACCIONAL,1.0,9,1,0,0
S,AHORRO,75360386010,20241204,20250215,367.81,367.81,0.0,834,CARGO FISCAL TRANSACCIONAL,1.0,73,1,0,0
S,AHORRO,52792982368,20241223,20250607,11600.93,11600.93,0.0,834,CARGO FISCAL TRANSACCIONAL,1.0,166,1,0,0
S,AHORRO,92536242287,20250129,20250808,2088.4,2088.4,0.0,1517,COBRO SERVICIO TRANSPORTE,1.0,191,1,0,0
S,AHORRO,27059026864,20250102,20250408,927.42,927.42,0.0,137,COMISION RETIRO CANAL A,1.0,96,1,0,0
S,AHORRO,70870258790,20250111,20250614,3012.3,3012.3,0.0,1517,COBRO SERVICIO TRANSPORTE,1.0,154,1,0,0
S,AHORRO,43052963068,20250303,20250922,23992.6,23992.6,0.0,176,COMISION RETIRO CORRESPONSAL B,1.0,203,1,0,0
S,AHORRO,46849451870,20250619,20250727,3458.4,3458.4,0.0,349,ABONO CREDITO MORA,1.0,38,1,0,0
S,AHORRO,99795429791,20241014,20250826,12707.91,12707.91,0.0,834,CARGO FISCAL TRANSACCIONAL,1.0,316,1,0,0
S,AHORRO,26097751232,20241229,20250824,1408.57,1408.57,0.0,834,CARGO FISCAL TRANSACCIONAL,1.0,238,1,0,0
S,AHORRO,33952091735,20250419,20250728,2614.83,2614.83,0.0,2106,COMISION TRANSFERENCIA EXTERNA B,1.0,100,1,0,0
S,AHORRO,68122370165,20250110,20250903,17027.72,17027.72,0.0,834,CARGO FISCAL TRANSACCIONAL,1.0,236,1,0,0
